Sternzeichen,Wahnehmung,Geschlecht,Alter,Gruppe,Richtig_Falsch
Zwilling,0.00,weiblich,21,1,F
Skorpion,0.33,männlich,27,1,F
Skorpion,0.33,männlich,27,1,F
Steinbock,0.67,weiblich,26,1,F
Waage,0.67,männlich,25,1,F
Zwilling,0.00,männlich,26,1,F
Schütze,0.33,männlich,29,1,F
Widder,0.67,männlich,26,1,F
Schütze,0.67,weiblich,29,1,F
Fische,0.00,männlich,30,1,R
Skorpion,0.67,männlich,26,1,R
Zwilling,0.00,männlich,33,1,R
Löwe,0.33,männlich,26,1,R
Jungfrau,0.00,männlich,23,1,R
Fische,0.00,weiblich,38,1,R
Steinbock,0.67,weiblich,38,1,R
Zwilling,0.67,männlich,28,1,R
Waage,0.33,männlich,36,1,R
Zwilling,1.00,weiblich,,2,R
Skorpion,1.00,männlich,,2,R
Widder,1.00,männlich,,2,R
Schütze,0.00,männlich,,2,R
Stier,1.00,weiblich,,2,R
Krebs,0.00,männlich,,2,R
Wassermann,1.00,weiblich,,2,R
Skorpion,0.00,weiblich,,2,R
Löwe,0.00,weiblich,,2,R
Steinbock,1.00,weiblich,,2,F
Jungfrau,0.00,weiblich,,2,F
Löwe,1.00,männlich,,2,F
Krebs,1.00,männlich,,2,F
Widder,1.00,weiblich,,2,F
Schütze,1.00,männlich,,2,F
Schütze,0.75,weiblich,,3,R
Waage,0.25,männlich,,3,F
Krebs,0.25,weiblich,,3,R
Wassermann,0.75,weiblich,,3,F
Zwilling,0.75,weiblich,,3,R
Löwe,0.25,weiblich,,3,F
Fische,0.50,männlich,,3,R
Wassermann,1.00,männlich,,3,F
Jungfrau,0.50,weiblich,,3,R
Skorpion,0.75,männlich,,3,F
Steinbock,0.25,männlich,,3,R
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,